index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
3a0d3444ced067d2902ab4f712d8e1cb,2026-04-01T13:14:31Z,'Unwetter Regen',www.bild.de,de,0.8,Unwetter in Griechenland - Sechs-Meter-Wellen legen Ägäis lahm,"Heftige Unwetter treffen die südliche Ägäis. Schulen geschlossen, Fähren eingestellt. Regen wie in 3 Monaten.",https://www.bild.de/news/ausland/aegaeis-extremwetter-legt-inseln-lahm-69cd151954836f652f88b390,"https://images.bild.de/69cd151954836f652f88b390/71fba3b81c5f6ab9cc2e5adb22bd4411,2f48fc72?w=1280",,"TTS-Player überspringenArtikel weiterlesenAthen Über sechs Meter hohe Wellen, geschlossene Schulen, keine Fähren mehr unterwegs. Ein heftiges Unwetter bringt das Leben in der südlichen Ägäis zum Erli… [+931 chars]",,"Unwetter in Griechenland - Sechs-Meter-Wellen legen Ägäis lahm. Heftige Unwetter treffen die südliche Ägäis. Schulen geschlossen, Fähren eingestellt. Regen wie in 3 Monaten.","Storms in Greece - six-meter waves paralyze the Aegean Sea. Severe storms hit the southern Aegean. Schools closed, ferries suspended. Rain like in 3 months.","Tempestates in Graecia - sex metri fluctus Aegaeum mare impediunt. Aegaeae australes tempestates asperae feriunt. Scholae clausae, ferries suspenduntur. Pluet sicut in III mensibus.",2026-04-14 11:43:29+00:00
119e46e643b7e3a5571f146d78c72470,2026-04-01T17:03:42Z,'Regenmassen',www.faz.net,de,0.9,Behörden warnen: Unwetter legt Alltag in der Ägäis und auf Kreta lahm,Geschlossene Schulen und gestrichene Flüge – eine Unwetterfront in der südlichen Ägäis sorgt für Regenmassen und orkanartige Böen. Behörden warnen per SMS: „Bleiben Sie zu Hause.“,https://www.faz.net/aktuell/gesellschaft/sechs-meter-hohe-wellen-vor-griechenland-unwetterwarnungen-um-aegaeisches-meer-und-athen-200694884.html,https://media0.faz.net/image/w1200h627/1468e528a77b/w4512h2357x0y560o/202604/43601.0.1941646215/graue-wolken-bedecken-den.webp,,"Eine heftige Unwetterfront über dem zentralen Mittelmeer sorgt für massive Beeinträchtigungen in der Ägäis und auf Kreta. Die Behörden haben die Bevölkerung vieler Regionen, darunter auch Athen, per … [+1202 chars]",,Behörden warnen: Unwetter legt Alltag in der Ägäis und auf Kreta lahm. Geschlossene Schulen und gestrichene Flüge – eine Unwetterfront in der südlichen Ägäis sorgt für Regenmassen und orkanartige Böen. Behörden warnen per SMS: „Bleiben Sie zu Hause.“,Authorities warn: Storms are paralyzing everyday life in the Aegean and Crete. Closed schools and canceled flights – a storm front in the southern Aegean is causing masses of rain and hurricane-like gusts. Authorities warn via text message: “Stay at home.”,"Auctores monent: Tempestates in Aegaeo et Creta vitam cotidianam paraverunt. Scholae clausae et volatus cassantur — tempestas anterior in Aegaeo meridionali turbas facit pluvias et procellas instar turbinis. Auctoritates monent per nuntium illud: ""Domi manete"".",2026-04-14 11:43:29+00:00
0626ab07a18a6fc45dc97693b47e82ca,2026-04-02T09:07:04Z,'Unwetter Regen',www.zeit.de,de,0.9,Starkregen und Saharastaub: Mindestens ein Toter nach schweren Unwettern in Griechenland,"Seit Tagen toben in Griechenland Starkregen und Orkanböen, hinzu kommt Saharastaub. Die Feuerwehr in Athen meldete 500 Notrufe, mindestens ein Mensch wurde getötet.",https://www.zeit.de/wissen/umwelt/2026-04/griechenland-unwetter-saharastaub-toter-kreta-gxe,https://img.zeit.de/gesellschaft/zeitgeschehen/2026-04/griechenland-saharastaub-sturm-toter-bild/wide__1300x731,,In Griechenland haben schwere Unwetter große Schäden verursacht. Mindestens ein Mensch wurde bei den seit drei Tagen andauernden Stürmen getötet: Die Feuerwehr von Nea Makri berichtete von einem etwa… [+1233 chars],,"Starkregen und Saharastaub: Mindestens ein Toter nach schweren Unwettern in Griechenland. Seit Tagen toben in Griechenland Starkregen und Orkanböen, hinzu kommt Saharastaub. Die Feuerwehr in Athen meldete 500 Notrufe, mindestens ein Mensch wurde getötet.","Heavy rain and Sahara dust: At least one dead after severe storms in Greece. Heavy rain and hurricane gusts have been raging in Greece for days, along with Sahara dust. The fire department in Athens reported 500 emergency calls and at least one person was killed.",Imbribus gravis et pulvis Saharae: Saltem mortui sunt post graves procellas in Graecia. Imber gravis et procellae procellae in Graecia per dies saevierunt cum pulvere Saharae. Incendium department Athenis nuntiavit 500 subitis vocat et saltem unus homo occisus est.,2026-04-14 11:43:29+00:00
ffb38e9fb57cfa04288ef71e2cc769a1,2026-04-02T12:53:24Z,'Starkregen',www.welt.de,de,0.9,Heftige Unwetter und Saharastaub färben Griechenlands Himmel orange-rot,"Heftige Unwetter treffen Griechenland: Starkregen, Orkanböen und Saharastaub legen Teile des Landes lahm. Besonders die Ägäis und die Region um Athen sind betroffen. Auf der Insel Kreta ist der rote Staub überall.",https://www.welt.de/vermischtes/article69ce5b14de66bddfe53e34f6/griechenland-heftige-unwetter-und-saharastaub-faerben-himmel-orange-rot.html,https://images.welt.de/69ce5b14de66bddfe53e34f6/50f76ff9ef19018d6aba6f7d90d4146f/ci16x9-w1200/dpapicture-2-585269096-jbh-jpg,,"Heftige Unwetter treffen Griechenland: Starkregen, Orkanböen und Saharastaub legen Teile des Landes lahm. Besonders die Ägäis und die Region um Athen sind betroffen. Auf der Insel Kreta ist der rote … [+1913 chars]",,"Heftige Unwetter und Saharastaub färben Griechenlands Himmel orange-rot. Heftige Unwetter treffen Griechenland: Starkregen, Orkanböen und Saharastaub legen Teile des Landes lahm. Besonders die Ägäis und die Region um Athen sind betroffen. Auf der Insel Kreta ist der rote Staub überall.","Violent storms and Saharan dust are turning Greece's sky orange-red. Violent storms hit Greece: heavy rain, hurricane force winds and Saharan dust paralyzed parts of the country. The Aegean Sea and the region around Athens are particularly affected. Red dust is everywhere on the island of Crete.","Tempestates violentae et pulvis Saharae Graeciae caelum aureum-rubrum vertunt. Tempestates violentae Graeciam feriunt: pluviae, procellae vis ventorum et pulvis Saharae partes regionis paralytici. Aegaeum mare et regio circum Athenas praecipue afficiuntur. Pulvis ruber ubique in Creta insula est.",2026-04-14 11:43:29+00:00
f6b47f1ad3e8b243a49936964f212e5a,2026-04-02T11:28:54Z,'Starkregen',www.bild.de,de,0.9,Spektakel auf Kreta - Sahara-Staub färbt den Himmel blutrot,"Extremes Wetter in der Ägäis: Während der Sahara-Staub den Himmel über Kreta blutrot färbt, leiden andere Teile Griechenlands unter Orkanböen und Starkregen",https://www.bild.de/news/ausland/spektakel-auf-kreta-sahara-staub-faerbt-den-himmel-blutrot-69ce04f084af3bb409c8e6b3,"https://images.bild.de/69ce04f084af3bb409c8e6b3/319f7649d02100dca5a8cfbab40f7679,154c813e?w=1280",,"TTS-Player überspringenArtikel weiterlesenKreta/Athen (Griechenland) Gerade im Frühjahr reisen viele Touristen gerne nach Kreta. Wegen der klaren Luft, wegen des blauen Himmels und des türkisfarbenen… [+1886 chars]",,"Spektakel auf Kreta - Sahara-Staub färbt den Himmel blutrot. Extremes Wetter in der Ägäis: Während der Sahara-Staub den Himmel über Kreta blutrot färbt, leiden andere Teile Griechenlands unter Orkanböen und Starkregen","Spectacle on Crete - Sahara dust turns the sky blood red. Extreme weather in the Aegean: While the Sahara dust turns the sky over Crete blood red, other parts of Greece are suffering from hurricane force winds and heavy rain","Spectaculum in Creta - Sahara pulvis vertit caelum sanguineum. Tempestas extrema in Aegaeo: Dum Saharae pulvis caelum Cretae sanguine volvitur, ceterae Graeciae partes ventorum vim ventorum et imbrem gravem laborant.",2026-04-15 05:38:07+00:00
e8675bf463fb3d3ea5e3c9e31a0439dc,2026-04-04T12:43:03Z,'Starkregen',www.bild.de,de,0.9,Tagelanger Starkregen - Wichtige Brücke in Italien eingestürzt,Die Brücke ist Teil einer der wichtigsten und längsten Schnellstraßen des Landes.,https://www.bild.de/news/ausland/tagelanges-unwetter-eingestuerzte-bruecke-legt-verkehr-in-italien-lahm-69d105028ba297d4b122ef3c,"https://images.bild.de/69d105028ba297d4b122ef3c/de0a6bd60402e6b6b6d3336a90689fe2-landscape,70d2022c?w=1280",,"Mehr zum Video anzeigen 
Die Brücke ist Teil einer der wichtigsten und längsten Schnellstraßen des Landes. 
Quelle: Vigili del Fuoco04.04.2026 - 14:43 Uhr",,Tagelanger Starkregen - Wichtige Brücke in Italien eingestürzt. Die Brücke ist Teil einer der wichtigsten und längsten Schnellstraßen des Landes.,Days of heavy rain - important bridge collapsed in Italy. The bridge is part of one of the most important and longest highways in the country.,Dies pluviae gravis - pons maximus in Italia concidit. Pons est pars una maximis et longissimis viis in agris.,2026-04-15 05:38:07+00:00
42363b703e1bc990f6e8fb353ffde634,2026-04-09T05:12:00Z,'Starkregen',taz.de,de,0.9,Anpassung an die Erderhitzung: Pflichtversichert gegen Starkregen,Vielen Wohnhäusern fehlt die finanzielle Vorsorge gegen Elementarschäden. Eine Organisation fordert deshalb Policen für alle – was Versicherer nicht wollen.,https://taz.de/Anpassung-an-die-Erderhitzung/!6169164/,https://taz.de/picture/8366486/1200/40890275.jpeg,,Vielen Wohnhäusern fehlt die finanzielle Vorsorge gegen Elementarschäden. Eine Organisation fordert deshalb Policen für alle – was Versicherer nicht wollen. mehr...,,Anpassung an die Erderhitzung: Pflichtversichert gegen Starkregen. Vielen Wohnhäusern fehlt die finanzielle Vorsorge gegen Elementarschäden. Eine Organisation fordert deshalb Policen für alle – was Versicherer nicht wollen.,Adaptation to global warming: compulsory insurance against heavy rain. Many residential buildings lack financial provisions against natural hazards. That's why one organization is demanding policies for everyone - something insurers don't want.,Accommodatio ad calefactionem globalem: assecurationis coactum contra pluviam gravem. Multa aedificia residentialia commeatum oeconomicum contra naturales casus desunt. Ideo una ordinatio postulat consilia pro omnibus - quod insurers non vis.,2026-04-15 05:38:07+00:00
5eee3fef56ccd3a6b3c600b049e560d4,2026-04-02T07:59:39Z,'Unwetter Regen',www.stern.de,de,0.8,Unwetter in der Ägäis: Starke Regenfälle und Saharastaub setzen Ägäis zu,"Wetter-Alarm in der Ägäis: Feuerwehr im Dauereinsatz, Flüge gestrichen, Fährbetrieb gestoppt – und der Himmel leuchtet plötzlich orangerot. Noch gibt es keine Entwarnung.",https://www.stern.de/panorama/unwetter-in-der-aegaeis--starke-regenfaelle-und-saharastaub-setzen-aegaeis-zu-37277362.html,https://image.stern.de/37277364/t/LL/v1/w1440/r1.7778/-/02--ek23iq4rb6v6axs2048jpeg---6468f6b62676f501.jpg,http://web.archive.org/web/20260403074340/https://www.stern.de/panorama/unwetter-in-der-aegaeis--starke-regenfaelle-und-saharastaub-setzen-aegaeis-zu-37277362.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Wetter-Alarm in der Ägäis: Feuerwehr im Dauereinsatz, Flüge gestrichen, Fährbetrieb gestoppt und der Himmel leuchtet plötzlich orangerot. Noch gi… [+1349 chars]",,"Unwetter in der Ägäis: Starke Regenfälle und Saharastaub setzen Ägäis zu. Wetter-Alarm in der Ägäis: Feuerwehr im Dauereinsatz, Flüge gestrichen, Fährbetrieb gestoppt – und der Himmel leuchtet plötzlich orangerot. Noch gibt es keine Entwarnung.","Storms in the Aegean: Heavy rains and Saharan dust are affecting the Aegean. Weather alarm in the Aegean: Fire brigade in constant operation, flights canceled, ferry operations stopped - and the sky suddenly lights up orange-red. There is still no all-clear.","Tempestates in Aegaeo: Imbres graves et pulvis Saharensi Aegaeo afficiuntur. Tempestas terror in Aegaeo est: Ignis LEGIO in assidua operatione, volatus cassantur, operationes vada substiterunt - et caelum repente aurantiaco-ruber illuminat. Nulla adhuc omnibus patet.",2026-04-15 15:50:03+00:00
8917f2338cdb07912fc68494410b36e7,2026-04-02T08:01:09Z,'Unwetter Regen',www.tagesspiegel.de,de,0.8,Unwetter in der Ägäis: Starke Regenfälle und Saharastaub setzen Ägäis zu,"Wetter-Alarm in der Ägäis: Feuerwehr im Dauereinsatz, Flüge gestrichen, Fährbetrieb gestoppt – und der Himmel leuchtet plötzlich orangerot. Noch gibt es keine Entwarnung.",https://www.tagesspiegel.de/gesellschaft/panorama/unwetter-in-der-agais-starke-regenfalle-und-saharastaub-setzen-agais-zu-15428171.html,https://www.tagesspiegel.de/images/15428170/alternates/BASE_16_9_W1400/1775116869000/sandsturm-uber-der-agais.jpeg,,Schwere Unwetter haben in Griechenland große Schäden verursacht und mindestens einen Menschen getötet. Besonders betroffen waren die südliche Ägäis und die Region um Athen. Zu Starkregen und Orkanböe… [+1223 chars],,"Unwetter in der Ägäis: Starke Regenfälle und Saharastaub setzen Ägäis zu. Wetter-Alarm in der Ägäis: Feuerwehr im Dauereinsatz, Flüge gestrichen, Fährbetrieb gestoppt – und der Himmel leuchtet plötzlich orangerot. Noch gibt es keine Entwarnung.","Storms in the Aegean: Heavy rains and Saharan dust are affecting the Aegean. Weather alarm in the Aegean: Fire brigade in constant operation, flights canceled, ferry operations stopped - and the sky suddenly lights up orange-red. There is still no all-clear.","Tempestates in Aegaeo: Imbres graves et pulvis Saharensi Aegaeo afficiuntur. Tempestas terror in Aegaeo est: Ignis LEGIO in assidua operatione, volatus cassantur, operationes vada substiterunt - et caelum repente aurantiaco-ruber illuminat. Nulla adhuc omnibus patet.",2026-04-16 21:23:47+00:00
343e898876ab00fa15f72102c3f8e3be,2026-04-02T08:27:44Z,'Starkregen',www.tagesspiegel.de,de,0.9,"Starkes Unwetter in Griechenland: Regenfälle, Orkanböen und Saharastaub setzen Ägäis zu – Himmel leuchtet orangerot","Starkregen, Orkanböen und Saharastaub: Griechenland kämpft mit einem schweren Unwetter. In der Ägäis ist die Feuerwehr im Dauereinsatz, Flüge wurden gestrichen, der Fährbetrieb gestoppt. Entwarnung gibt es noch nicht.",https://www.tagesspiegel.de/gesellschaft/panorama/starkes-unwetter-in-griechenland-regenfalle-orkanboen-und-saharastaub-setzen-agais-zu--himmel-leuchtet-orangerot-15428249.html,https://www.tagesspiegel.de/images/15428263/alternates/BASE_16_9_W1400/1775118171000/starke-regenfalle-und-saharastaub-setzen-agais-zu.jpeg,,Schwere Unwetter haben in Griechenland große Schäden verursacht und mindestens einen Menschen getötet. Besonders betroffen waren die südliche Ägäis und die Region um Athen. Zu Starkregen und Orkanböe… [+1435 chars],,"Starkes Unwetter in Griechenland: Regenfälle, Orkanböen und Saharastaub setzen Ägäis zu – Himmel leuchtet orangerot. Starkregen, Orkanböen und Saharastaub: Griechenland kämpft mit einem schweren Unwetter. In der Ägäis ist die Feuerwehr im Dauereinsatz, Flüge wurden gestrichen, der Fährbetrieb gestoppt. Entwarnung gibt es noch nicht.","Strong storm in Greece: Rain, hurricane gusts and Saharan dust hit the Aegean - the sky glows orange-red. Heavy rain, hurricane force winds and Saharan dust: Greece is battling a severe storm. In the Aegean, the fire brigade is in constant operation, flights have been canceled and ferry operations have stopped. There is no all-clear yet.","Tempestas valida in Graecia: Imber, procellae procellae et Saharae pulvis Aegaeum feriunt - caelum aurantiaco-ruber rutilat. Imbribus gravis, turbo vis ventorum, pulvis Saharensia: Graia debellat saeva procella. In Aegaeo, ignis legio in assidua operatione, fugae remissae sunt et operationes passivae cessaverunt. Nulla sed omnia.",2026-04-16 21:23:47+00:00
